,investor_id,name,location,type,most_recent_deal,number_of_deals,portfolio_size,city,state,country,website,industry
12,1968,Discovery Capital,Vancouver,vc,2019-11-25,0,0,Vancouver,CAN-BC,CAN,discoverycapital.com,food & beverages
15,3647,Partners Innovation Fund,Boston,vc,2020-04-27,0,0,Boston,MA,USA,,food & beverages
18,724,Paladin Capital Group,Washington D.C.,vc,2020-08-04,0,0,Washington D.C.,DC,USA,paladincapgroup.com,food & beverages
19,3313,MMC Ventures,London,vc,2020-06-22,0,0,London,,GBR,mmcventures.com,food & beverages
36,318,Advent Venture Partners,London,vc,2016-09-29,0,0,London,,GBR,adventventures.com,food & beverages
47,2593,Razor's Edge Ventures,Herndon,vc,2020-07-14,0,0,Herndon,VA,USA,razorsvc.com,food & beverages
49,7721,SK Ventures,San Diego,vc,2020-04-20,0,0,La Jolla,CA,USA,skvcap.com,food & beverages
1,4676,ARC Financial,Calgary,vc,2011-05-04,0,0,Calgary,CAN-AB,CAN,arcfinancial.com,food & beverages
2,3628,KfW Bankengruppe,Frankfurt Am Main,vc,2017-10-04,0,0,Frankfurt Am Main,,DEU,kfw.de,food & beverages
15,15789,Sozo Ventures,Bay Area,vc,2020-07-28,0,0,San Francisco,CA,USA,,food & beverages
16,16960,Bryan Goldberg,New York,angel,2017-10-13,0,0,New York,NY,USA,,food & beverages
27,2649,Venture Investors,Cleveland,vc,2018-01-09,0,0,Madison,WI,USA,ventureinvestors.com,food & beverages
30,8964,Druid BioVentures,Philadelphia,vc,2014-12-03,0,0,Philadelphia,PA,USA,druidbio.com,food & beverages
31,17076,Sabby Capital,New York,vc,2017-04-28,0,0,Saddle River,NJ,USA,,food & beverages
32,17747,EcoR1 Capital,Bay Area,vc,2020-09-23,0,0,San Francisco,CA,USA,ecor1cap.com,food & beverages
35,12468,Jay Calvert,Los Angeles,angel,2012-02-01,0,0,Los Angeles,CA,USA,,food & beverages
36,2714,Harbert Management Corporation,Birmingham,vc,2018-02-26,0,0,Birmingham,AL,USA,harbert.net,food & beverages
37,154,Ron Zuckerman,Los Angeles,angel,2018-06-27,0,0,Los Angeles,CA,USA,angel.co/ron-zuckerman,food & beverages
0,20346,Archer Gray,New York,angel,2016-07-13,0,0,New York,NY,USA,,food & beverages
1,3541,Gamma Capital Partners,Vienna,vc,2018-02-01,0,0,Vienna,,AUT,gamma-capital.com,food & beverages
2,12482,Justin Sanger,Milwaukee,angel,2012-10-19,0,0,Denver,CO,USA,,food & beverages
5,3630,XSeed Capital,Bay Area,vc,2020-05-12,0,0,Portola Valley,CA,USA,xseedcap.com,food & beverages
6,10412,Bryan Menell,Austin,angel,2012-11-18,0,0,Austin,TX,USA,,food & beverages
7,5270,Chicago Growth Partners,Chicago,vc,2015-12-01,0,0,Chicago,IL,USA,cgp.com,food & beverages
8,21933,Mosaic Capital Partners,Toronto,vc,2014-10-07,0,0,Toronto,CAN-ON,CAN,mosaicvp.com,food & beverages
11,142,Clearstone Venture Partners,Los Angeles,vc,2016-01-19,0,0,Santa Monica,CA,USA,clearstone.com,food & beverages
18,24949,Abingdon Capital,McLean,vc,2015-04-16,0,0,McLean,VA,USA,abingdoncapital.com,food & beverages
23,1759,Tallwood Venture Capital,Bay Area,vc,2014-11-12,0,0,Menlo Park,CA,USA,tallwoodvc.com,food & beverages
26,902,FF Angel LLC,Bay Area,vc,2017-10-06,0,0,San Francisco,CA,USA,,food & beverages
34,24608,Simul Investments,Los Angeles,vc,2014-11-07,0,0,Sherman Oaks,CA,USA,,food & beverages
41,1583,James Joaquin,Bay Area,angel,2014-09-17,0,0,San Francisco,CA,USA,angel.co/james-joaquin,food & beverages
42,20795,Blockchain Capital,Bay Area,vc,2019-11-19,0,0,San Francisco,CA,USA,blockchain.capital,food & beverages
44,5554,Lon Chow,Chicago,angel,2016-05-10,0,0,Chicago,IL,USA,angel.co/lonchow,food & beverages
3,11941,Adam Ross,Milwaukee,angel,2015-07-15,0,0,Denver,CO,USA,angel.co/adam-ross-1,food & beverages
29,10948,David Helgason,Bay Area,angel,2020-04-03,0,0,San Francisco,CA,USA,,food & beverages
32,161,MPM Capital,Boston,vc,2020-08-10,0,0,Boston,MA,USA,mpmcapital.com,food & beverages
39,17805,Darren Patterson,Sydney,angel,2013-12-16,0,0,Sydney,,AUS,,food & beverages
42,7478,Right Side Capital Management,Bay Area,vc,2020-07-14,0,0,San Francisco,CA,USA,rightsidecapital.com,food & beverages
46,1499,Great Hill Partners,Boston,vc,2020-04-28,0,0,Boston,MA,USA,greathillpartners.com,food & beverages
49,9924,Chad Byers,New York,angel,2013-10-08,0,0,New York,NY,USA,angel.co/chad-byers,food & beverages
1,6230,Allegro Venture Partners,Bay Area,vc,2018-04-25,0,0,San Francisco,CA,USA,allegrovc.com,food & beverages
4,281,Hummer Winblad Venture Partners,Bay Area,vc,2018-12-31,0,0,San Francisco,CA,USA,humwin.com,food & beverages
29,10614,Matt Monahan,New York,angel,2014-02-14,0,0,New York,NY,USA,angel.co/gomattymo,food & beverages
34,11023,Michael Greve,Cape Town,angel,2012-03-01,0,0,Cape Town,,ZAF,,food & beverages
39,2858,Seraph Group,Atlanta,vc,2018-09-18,0,0,Atlanta,GA,USA,seraphgroup.net,food & beverages
40,7771,Konstantin Othmer,Los Altos Hills,angel,2015-03-19,0,0,Los Altos Hills,CA,USA,,food & beverages
43,21147,Causeway Media Partners,Boston,vc,2020-09-16,0,0,Boston,MA,USA,causewaymp.com,food & beverages
44,14255,InVenture,,vc,2020-06-26,0,0,Helsinki,,FIN,inventure.fi,food & beverages
49,3178,New Venture Partners,New York,vc,2016-09-29,0,0,New Providence,NJ,USA,nvpllc.com,food & beverages
7,1646,Hasso Plattner Ventures,Potsdam,vc,2018-08-21,0,0,Potsdam,,DEU,hp-ventures.com,food & beverages
11,19589,RevTech Labs,Charlotte,accelerator,2019-12-03,0,0,Charlotte,NC,USA,revtechlabs.com,food & beverages
14,4114,Actis,London,vc,2018-03-13,0,0,London,,GBR,act.is,food & beverages
28,3,Nexus Venture Partners,Bay Area,vc,2020-09-11,217,129,Menlo Park,CA,USA,nexusvp.com,food & beverages
30,11833,Jeffrey P. Parker,Boston,angel,2017-05-15,0,0,Boston,MA,USA,,food & beverages
32,12211,Spring Singapore,Singapore,vc,2015-07-14,0,0,Singapore,,SGP,spring.gov.sg,food & beverages
42,25740,Scale Investors,Melbourne,vc,2016-07-18,0,0,Melbourne,,AUS,scaleinvestors.com.au,food & beverages
43,24090,BOM Capital,Tilburg,vc,2018-09-12,0,0,Tilburg,,NLD,bom.nl,food & beverages
1,28167,FinTech innovation Lab (Dublin),Dublin,accelerator,2016-02-18,0,0,Dublin,,IRL,fintechinnovationlabdublin.ie,food & beverages
13,7803,Daher Capital,Beirut Central District,vc,2020-02-05,0,0,Beirut Central District,,LBN,dahercapital.com,food & beverages
14,10051,Mike Hirshland,Bay Area,angel,2015-06-16,0,0,San Francisco,CA,USA,angel.co/vcmike,food & beverages
20,8445,Gordon Paddison,Los Angeles,angel,2015-10-27,0,0,Los Angeles,CA,USA,,food & beverages
26,12704,Raine Ventures,Bay Area,vc,2020-08-26,0,0,San Francisco,CA,USA,raine.com,food & beverages
31,9741,Alex Richardson,Boston,angel,2012-06-25,0,0,Boston,MA,USA,,food & beverages
46,7694,Huron River Ventures,Detroit,vc,2018-01-09,0,0,Ann Arbor,MI,USA,huronrivervc.com,food & beverages
